"filename", "language", "TypeScript", "TypeScript React", "CSS", "XML", "comment", "blank", "total"
"h:\work\_projects\react\volume-trainings\src\App.css", "CSS", 0, 0, 12, 0, 0, 0, 12
"h:\work\_projects\react\volume-trainings\src\App.tsx", "TypeScript React", 0, 41, 0, 0, 4, 8, 53
"h:\work\_projects\react\volume-trainings\src\assets\css\button.css", "CSS", 0, 0, 98, 0, 8, 8, 114
"h:\work\_projects\react\volume-trainings\src\assets\css\form.css", "CSS", 0, 0, 150, 0, 8, 5, 163
"h:\work\_projects\react\volume-trainings\src\assets\css\normalize.css", "CSS", 0, 0, 3, 0, 0, 0, 3
"h:\work\_projects\react\volume-trainings\src\assets\css\z-index.css", "CSS", 0, 0, 4, 0, 0, 0, 4
"h:\work\_projects\react\volume-trainings\src\assets\svg-loaders\loader-balls-line.svg", "XML", 0, 0, 0, 20, 0, 1, 21
"h:\work\_projects\react\volume-trainings\src\assets\svg-loaders\loader-pendulum.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\add_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\add_circle_outline_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\arrow_downward_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\close_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\content_copy_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\content_paste_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\content_paste_red_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\copy_all_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\delete_outline_black_24dp-red.svg", "XML", 0, 0, 0, 1, 0, 0, 1
