"filename", "language", "TypeScript", "CSS", "TypeScript React", "XML", "comment", "blank", "total"
"h:\work\_projects\react\volume-trainings\src\components\registration-form\registration-form.css", "CSS", 0, 18, 0, 0, 0, 1, 19
"h:\work\_projects\react\volume-trainings\src\components\registration-form\registration-form.tsx", "TypeScript React", 0, 0, 236, 0, 8, 36, 280
"h:\work\_projects\react\volume-trainings\src\components\schedule\schedule.css", "CSS", 0, 56, 0, 0, 0, 7, 63
"h:\work\_projects\react\volume-trainings\src\components\schedule\schedule.tsx", "TypeScript React", 0, 0, 97, 0, 6, 19, 122
"h:\work\_projects\react\volume-trainings\src\components\stats\stats.css", "CSS", 0, 166, 0, 0, 18, 9, 193
"h:\work\_projects\react\volume-trainings\src\components\stats\stats.tsx", "TypeScript React", 0, 0, 61, 0, 4, 9, 74
"h:\work\_projects\react\volume-trainings\src\components\training-day\training-day.css", "CSS", 0, 11, 0, 0, 0, 0, 11
"h:\work\_projects\react\volume-trainings\src\components\training-day\training-day.tsx", "TypeScript React", 0, 0, 37, 0, 6, 9, 52
"h:\work\_projects\react\volume-trainings\src\components\training-week\training-week.css", "CSS", 0, 134, 0, 0, 13, 9, 156
"h:\work\_projects\react\volume-trainings\src\components\training-week\training-week.tsx", "TypeScript React", 0, 0, 131, 0, 6, 16, 153
"h:\work\_projects\react\volume-trainings\src\components\training-year\training-year.css", "CSS", 0, 12, 0, 0, 0, 0, 12
"h:\work\_projects\react\volume-trainings\src\components\training-year\training-year.tsx", "TypeScript React", 0, 0, 41, 0, 6, 12, 59
"h:\work\_projects\react\volume-trainings\src\components\training\training.css", "CSS", 0, 104, 0, 0, 1, 2, 107
"h:\work\_projects\react\volume-trainings\src\components\training\training.tsx", "TypeScript React", 0, 0, 107, 0, 6, 16, 129
"h:\work\_projects\react\volume-trainings\src\components\users\users.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"h:\work\_projects\react\volume-trainings\src\components\users\users.tsx", "TypeScript React", 0, 0, 21, 0, 6, 11, 38
"h:\work\_projects\react\volume-trainings\src\components\year-week\year-week.css", "CSS", 0, 236, 0, 0, 19, 9, 264
"h:\work\_projects\react\volume-trainings\src\components\year-week\year-week.tsx", "TypeScript React", 0, 0, 148, 0, 6, 18, 172
"h:\work\_projects\react\volume-trainings\src\constants\date-and-time.ts", "TypeScript", 28, 0, 0, 0, 4, 5, 37
"h:\work\_projects\react\volume-trainings\src\constants\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"h:\work\_projects\react\volume-trainings\src\constants\local-storage.ts", "TypeScript", 4, 0, 0, 0, 2, 2, 8
"h:\work\_projects\react\volume-trainings\src\constants\schedule.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 12
"h:\work\_projects\react\volume-trainings\src\hooks\useClickOutside.ts", "TypeScript", 19, 0, 0, 0, 1, 4, 24
"h:\work\_projects\react\volume-trainings\src\hooks\useIndexedDb.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 5
"h:\work\_projects\react\volume-trainings\src\hooks\useLocalStorage.ts", "TypeScript", 34, 0, 0, 0, 1, 6, 41
"h:\work\_projects\react\volume-trainings\src\hooks\useLocalStorageAsync.ts", "TypeScript", 39, 0, 0, 0, 0, 6, 45
"h:\work\_projects\react\volume-trainings\src\hooks\useScrollIntoView.ts", "TypeScript", 19, 0, 0, 0, 0, 4, 23
"h:\work\_projects\react\volume-trainings\src\index.css", "CSS", 0, 56, 0, 0, 6, 11, 73
"h:\work\_projects\react\volume-trainings\src\index.tsx", "TypeScript React", 0, 0, 14, 0, 0, 1, 15
"h:\work\_projects\react\volume-trainings\src\providers\index.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"h:\work\_projects\react\volume-trainings\src\providers\json-provider.ts", "TypeScript", 14, 0, 0, 0, 1, 4, 19
"h:\work\_projects\react\volume-trainings\src\providers\local-storage-provider.ts", "TypeScript", 33, 0, 0, 0, 0, 5, 38
"h:\work\_projects\react\volume-trainings\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"h:\work\_projects\react\volume-trainings\src\store\actions\app-options-actions.ts", "TypeScript", 40, 0, 0, 0, 0, 6, 46
"h:\work\_projects\react\volume-trainings\src\store\actions\index.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
